promo_month,reg_end,reward_end,min_hkd,min_usd,hkd_esaver_rate,usd_esaver_rate,max_total_hkd,max_total_usd,has_levelup,excludes,notes
2025-01,2025-01-16,2025-03-31,200000,25000,3.8,4.199,4.05,4.2,yes,,
2025-02,2025-02-21,2025-04-30,200000,25000,3.35,4.099,3.6,4.1,yes,,
2025-03,2025-04-22,2025-07-07,200000,25000,3.35,3.999,3.6,4.0,yes,,
2025-05,2025-05-23,2025-08-06,200000,25000,3.2,3.899,3.45,3.9,yes,,No Apr/Jun/Jul/Aug ETB promo
2025-09,2025-09-29,2025-11-14,200000,25000,2.55,3.799,2.8,3.8,no,Aug 2025,
2025-10,2025-10-31,2026-01-09,200000,25000,2.875,3.799,3.0,3.8,no,Aug 2025; Sep 2025,
2025-11,2025-11-30,2026-02-13,200000,25000,3.375,3.999,3.5,4.0,no,Oct 2025,
2025-12,2026-01-03,2026-03-05,200000,25000,2.875,3.699,3.0,3.7,no,Oct 2025; Nov 2025,
2026-01,2026-02-06,2026-04-02,200000,25000,2.675,3.599,2.8,3.6,no,Nov 2025; Dec 2025,
2026-02,2026-03-06,2026-05-07,200000,25000,2.875,3.699,3.0,3.7,no,Dec 2025; Jan 2026,
